"id","segment_uid","free_flow_travel_time_seconds","true_driving_distance_meters","collected_at_utc","updated_at"
138294,"CENTRAL_PUZHAL_ATGRADE_001",155.000,1035.000,"2026-07-31 06:45:03.829259+00","2026-07-31 06:45:03.848715+00"
138293,"PALLAVARAM_THORAIPAKKAM_001",56.000,538.000,"2026-07-31 06:45:03.829191+00","2026-07-31 06:45:03.848519+00"
138292,"PUZHAL_CENTRAL_007",37.000,378.000,"2026-07-31 06:45:03.829122+00","2026-07-31 06:45:03.848331+00"
138291,"PUZHAL_CENTRAL_ATGRADE_001",51.000,336.000,"2026-07-31 06:45:03.829032+00","2026-07-31 06:45:03.847893+00"
138290,"PUZHAL_CENTRAL_013",45.000,355.000,"2026-07-31 06:45:03.828893+00","2026-07-31 06:45:03.847476+00"
138289,"PUZHAL_CENTRAL_010",97.000,578.000,"2026-07-31 06:45:03.828729+00","2026-07-31 06:45:03.847286+00"
138288,"PUZHAL_CENTRAL_009",66.000,695.000,"2026-07-31 06:45:03.828616+00","2026-07-31 06:45:03.847076+00"
138287,"PUZHAL_CENTRAL_006",55.000,476.000,"2026-07-31 06:45:03.82819+00","2026-07-31 06:45:03.846875+00"
138286,"PUZHAL_CENTRAL_024",65.000,351.000,"2026-07-31 06:45:03.828094+00","2026-07-31 06:45:03.846213+00"
138285,"PUZHAL_CENTRAL_003",61.000,592.000,"2026-07-31 06:45:03.827946+00","2026-07-31 06:45:03.84603+00"
138284,"TAMBARAM_GUINDY_023",17.000,129.000,"2026-07-31 06:45:03.72795+00","2026-07-31 06:45:03.84581+00"
138283,"CENTRAL_PUZHAL_ATGRADE_004",45.000,400.000,"2026-07-31 06:45:03.822327+00","2026-07-31 06:45:03.845577+00"
138282,"PUZHAL_CENTRAL_001",51.000,301.000,"2026-07-31 06:45:03.822165+00","2026-07-31 06:45:03.845202+00"
138281,"PUZHAL_CENTRAL_016",144.000,745.000,"2026-07-31 06:45:03.821994+00","2026-07-31 06:45:03.844994+00"
138280,"CENTRAL_PUZHAL_025",67.000,599.000,"2026-07-31 06:45:03.820945+00","2026-07-31 06:45:03.8446+00"
138279,"PUZHAL_CENTRAL_004",45.000,178.000,"2026-07-31 06:45:03.821842+00","2026-07-31 06:45:03.844235+00"
138278,"CENTRAL_PUZHAL_ATGRADE_002",284.000,1694.000,"2026-07-31 06:45:03.821693+00","2026-07-31 06:45:03.843666+00"
138277,"PUZHAL_CENTRAL_015",60.000,396.000,"2026-07-31 06:45:03.821251+00","2026-07-31 06:45:03.84347+00"
138276,"CENTRAL_PUZHAL_027",59.000,302.000,"2026-07-31 06:45:03.821117+00","2026-07-31 06:45:03.843102+00"
138275,"PUZHAL_CENTRAL_005",167.000,1329.000,"2026-07-31 06:45:03.817529+00","2026-07-31 06:45:03.842807+00"
138274,"CENTRAL_PUZHAL_020",29.000,270.000,"2026-07-31 06:45:03.81729+00","2026-07-31 06:45:03.842256+00"
138273,"PUZHAL_CENTRAL_002",122.000,1420.000,"2026-07-31 06:45:03.817119+00","2026-07-31 06:45:03.841928+00"
138272,"TAMBARAM_GUINDY_034",147.000,1081.000,"2026-07-31 06:45:03.727828+00","2026-07-31 06:45:03.841712+00"
138271,"PUZHAL_CENTRAL_021",48.000,305.000,"2026-07-31 06:45:03.839589+00","2026-07-31 06:45:03.840124+00"
138270,"CENTRAL_PUZHAL_026",136.000,1422.000,"2026-07-31 06:45:03.813377+00","2026-07-31 06:45:03.839811+00"
138269,"CENTRAL_PUZHAL_024",40.000,171.000,"2026-07-31 06:45:03.813261+00","2026-07-31 06:45:03.839597+00"
138268,"PUZHAL_CENTRAL_ATGRADE_004",66.000,384.000,"2026-07-31 06:45:03.838386+00","2026-07-31 06:45:03.839237+00"
138267,"TAMBARAM_GUINDY_011",71.000,605.000,"2026-07-31 06:45:03.741654+00","2026-07-31 06:45:03.838494+00"
138266,"LITTLEMOUNT_KILAMBAKKAM_018",82.000,741.000,"2026-07-31 06:45:03.072348+00","2026-07-31 06:45:03.838302+00"
138265,"LITTLEMOUNT_KILAMBAKKAM_016",97.000,972.000,"2026-07-31 06:45:03.072281+00","2026-07-31 06:45:03.838077+00"
138264,"CENTRAL_PUZHAL_005",30.000,211.000,"2026-07-31 06:45:03.729863+00","2026-07-31 06:45:03.8379+00"
138263,"CENTRAL_PUZHAL_017",40.000,246.000,"2026-07-31 06:45:03.729692+00","2026-07-31 06:45:03.837661+00"
138262,"TAMBARAM_GUINDY_026",37.000,183.000,"2026-07-31 06:45:03.729534+00","2026-07-31 06:45:03.837337+00"
138261,"PUZHAL_CENTRAL_ATGRADE_005",587.000,4026.000,"2026-07-31 06:45:03.836212+00","2026-07-31 06:45:03.836537+00"
138260,"PUZHAL_CENTRAL_008",28.000,272.000,"2026-07-31 06:45:03.835834+00","2026-07-31 06:45:03.836336+00"
138259,"CENTRAL_PUZHAL_011",46.000,235.000,"2026-07-31 06:45:03.835523+00","2026-07-31 06:45:03.835675+00"
138258,"CENTRAL_PUZHAL_012",106.000,684.000,"2026-07-31 06:45:03.728634+00","2026-07-31 06:45:03.835557+00"
138257,"CENTRAL_PUZHAL_013",57.000,398.000,"2026-07-31 06:45:03.728531+00","2026-07-31 06:45:03.835284+00"
138256,"TAMBARAM_GUINDY_032",58.000,405.000,"2026-07-31 06:45:03.728424+00","2026-07-31 06:45:03.835044+00"
138255,"PUZHAL_CENTRAL_025",23.000,102.000,"2026-07-31 06:45:03.833832+00","2026-07-31 06:45:03.834116+00"
138254,"PUZHAL_CENTRAL_ATGRADE_002",65.000,360.000,"2026-07-31 06:45:03.833553+00","2026-07-31 06:45:03.833716+00"
138253,"PUZHAL_CENTRAL_026",88.000,540.000,"2026-07-31 06:45:03.83329+00","2026-07-31 06:45:03.833463+00"
138252,"CENTRAL_PUZHAL_021",38.000,379.000,"2026-07-31 06:45:03.832937+00","2026-07-31 06:45:03.833099+00"
138251,"PUZHAL_CENTRAL_017",49.000,224.000,"2026-07-31 06:45:03.832662+00","2026-07-31 06:45:03.832858+00"
138250,"PALLAVARAM_THORAIPAKKAM_002",101.000,1109.000,"2026-07-31 06:45:03.832384+00","2026-07-31 06:45:03.832543+00"
138249,"PUZHAL_CENTRAL_018",137.000,1303.000,"2026-07-31 06:45:03.828309+00","2026-07-31 06:45:03.828469+00"
