"id","timestamp_utc","cycle_id","segment_uid","corridor_name","current_travel_time_seconds","true_driving_distance_meters","free_flow_travel_time_seconds","travel_time_index_tti","hour_of_day_utc","hour_of_day_ist","is_weekend","vehicle_mode","temporal_drift_seconds","api_response_status","api_latency_ms","retry_count"
30976,"2026-07-15 00:00:03.499908+00","2026-07-15T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_002","Corridor_Littlemount_Kilambakkam",74.000,591.000,95.000,0.7789,0,5,0,"DRIVE",1.222,"OK",75.7,0
30977,"2026-07-15 00:00:03.500728+00","2026-07-15T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_005","Corridor_Littlemount_Kilambakkam",79.000,602.000,88.000,0.8977,0,5,0,"DRIVE",1.223,"OK",76.1,0
30978,"2026-07-15 00:00:03.50238+00","2026-07-15T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_007","Corridor_Littlemount_Kilambakkam",70.000,716.000,106.000,0.6604,0,5,0,"DRIVE",1.224,"OK",76.8,0
30979,"2026-07-15 00:00:03.502633+00","2026-07-15T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_003","Corridor_Littlemount_Kilambakkam",19.000,223.000,25.000,0.7600,0,5,0,"DRIVE",1.223,"OK",78.4,0
30980,"2026-07-15 00:00:03.504103+00","2026-07-15T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT_004","Corridor_Littlemount_Kilambakkam",61.000,1009.000,74.000,0.8243,0,5,0,"DRIVE",1.225,"OK",77.7,0
30981,"2026-07-15 00:00:03.506427+00","2026-07-15T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_004","Corridor_Littlemount_Kilambakkam",25.000,310.000,33.000,0.7576,0,5,0,"DRIVE",1.223,"OK",82.0,0
30982,"2026-07-15 00:00:03.507146+00","2026-07-15T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT_024","Corridor_Littlemount_Kilambakkam",42.000,556.000,60.000,0.7000,0,5,0,"DRIVE",1.229,"OK",76.5,0
30983,"2026-07-15 00:00:03.506692+00","2026-07-15T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_001","Corridor_Littlemount_Kilambakkam",26.000,289.000,34.000,0.7647,0,5,0,"DRIVE",1.222,"OK",83.0,0
30984,"2026-07-15 00:00:03.507564+00","2026-07-15T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_009","Corridor_Littlemount_Kilambakkam",378.000,3771.000,419.000,0.9021,0,5,0,"DRIVE",1.224,"OK",82.0,0
30985,"2026-07-15 00:00:03.508164+00","2026-07-15T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT_003","Corridor_Littlemount_Kilambakkam",38.000,637.000,45.000,0.8444,0,5,0,"DRIVE",1.225,"OK",82.0,0
