"id","timestamp_utc","cycle_id","segment_uid","corridor_name","current_travel_time_seconds","true_driving_distance_meters","free_flow_travel_time_seconds","travel_time_index_tti","hour_of_day_utc","hour_of_day_ist","is_weekend","vehicle_mode","temporal_drift_seconds","api_response_status","api_latency_ms","retry_count"
115641,"2026-07-22 00:00:27.878935+00","2026-07-22T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM_024","Corridor_Littlemount_Kilambakkam",0.000,578.000,71.000,NULL,0,5,0,"DRIVE",8.888,"FAILED",67.1,3
115642,"2026-07-22 00:00:27.897865+00","2026-07-22T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT_014","Corridor_Littlemount_Kilambakkam",0.000,664.000,88.000,NULL,0,5,0,"DRIVE",8.882,"FAILED",66.4,3
115643,"2026-07-22 00:00:27.982637+00","2026-07-22T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM_018","Corridor_Littlemount_Kilambakkam",0.000,741.000,83.000,NULL,0,5,0,"DRIVE",8.888,"FAILED",68.6,3
115644,"2026-07-22 00:00:27.995314+00","2026-07-22T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_006","Corridor_Littlemount_Kilambakkam",0.000,3671.000,491.000,NULL,0,5,0,"DRIVE",8.879,"FAILED",69.2,3
115645,"2026-07-22 00:00:28.051488+00","2026-07-22T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_005","Corridor_Littlemount_Kilambakkam",0.000,602.000,88.000,NULL,0,5,0,"DRIVE",8.879,"FAILED",68.2,3
115646,"2026-07-22 00:00:28.061706+00","2026-07-22T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT_008","Corridor_Littlemount_Kilambakkam",0.000,902.000,101.000,NULL,0,5,0,"DRIVE",8.881,"FAILED",67.3,3
115647,"2026-07-22 00:00:28.064969+00","2026-07-22T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT_025","Corridor_Littlemount_Kilambakkam",0.000,835.000,84.000,NULL,0,5,0,"DRIVE",8.885,"FAILED",68.9,3
115648,"2026-07-22 00:00:28.084547+00","2026-07-22T00:00:11Z_0001","BROADWAY_KOYEMBEDU_008","EVR Salai",0.000,446.000,71.000,NULL,0,5,0,"DRIVE",8.888,"FAILED",66.9,3
115649,"2026-07-22 00:00:28.086509+00","2026-07-22T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM_012","Corridor_Littlemount_Kilambakkam",0.000,874.000,104.000,NULL,0,5,0,"DRIVE",8.888,"FAILED",66.0,3
115650,"2026-07-22 00:00:28.105867+00","2026-07-22T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT_011","Corridor_Littlemount_Kilambakkam",0.000,774.000,85.000,NULL,0,5,0,"DRIVE",8.882,"FAILED",66.0,3
115651,"2026-07-22 00:00:28.123866+00","2026-07-22T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM_001","Corridor_Littlemount_Kilambakkam",0.000,627.000,71.000,NULL,0,5,0,"DRIVE",8.887,"FAILED",67.0,3
115652,"2026-07-22 00:00:28.131575+00","2026-07-22T00:00:11Z_0001","CENTRAL_PUZHAL_ATGRADE_003","Puzhal-Central",0.000,561.000,57.000,NULL,0,5,0,"DRIVE",8.890,"FAILED",66.0,3
115653,"2026-07-22 00:00:28.134666+00","2026-07-22T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM_010","Corridor_Littlemount_Kilambakkam",0.000,395.000,45.000,NULL,0,5,0,"DRIVE",8.888,"FAILED",64.1,3
115654,"2026-07-22 00:00:28.142056+00","2026-07-22T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM_025","Corridor_Littlemount_Kilambakkam",0.000,836.000,84.000,NULL,0,5,0,"DRIVE",8.888,"FAILED",72.8,3
115655,"2026-07-22 00:00:28.14386+00","2026-07-22T00:00:11Z_0001","KOYEMBEDU_BROADWAY_019","EVR Salai",0.000,443.000,72.000,NULL,0,5,0,"DRIVE",8.889,"FAILED",66.6,3
115656,"2026-07-22 00:00:28.145446+00","2026-07-22T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT_018","Corridor_Littlemount_Kilambakkam",0.000,1745.000,124.000,NULL,0,5,0,"DRIVE",8.883,"FAILED",68.5,3
115657,"2026-07-22 00:00:28.146766+00","2026-07-22T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT_017","Corridor_Littlemount_Kilambakkam",0.000,386.000,37.000,NULL,0,5,0,"DRIVE",8.883,"FAILED",66.2,3
115658,"2026-07-22 00:00:28.156196+00","2026-07-22T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_004","Corridor_Littlemount_Kilambakkam",0.000,310.000,33.000,NULL,0,5,0,"DRIVE",8.879,"FAILED",67.3,3
115659,"2026-07-22 00:00:28.156774+00","2026-07-22T00:00:11Z_0001","PALLAVARAM_THORAIPAKKAM_007","Thoraipakkam-Pallavaram",0.000,1222.000,135.000,NULL,0,5,0,"DRIVE",8.891,"FAILED",69.0,3
115660,"2026-07-22 00:00:28.172344+00","2026-07-22T00:00:11Z_0001","KOYEMBEDU_BROADWAY_006","EVR Salai",0.000,213.000,41.000,NULL,0,5,0,"DRIVE",8.889,"FAILED",66.0,3
115661,"2026-07-22 00:00:28.175754+00","2026-07-22T00:00:11Z_0001","GUINDY_TAMBARAM_008","Guindy-Tambaram",0.000,1025.000,96.000,NULL,0,5,0,"DRIVE",8.889,"FAILED",66.5,3
115662,"2026-07-22 00:00:28.179999+00","2026-07-22T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM_019","Corridor_Littlemount_Kilambakkam",0.000,663.000,87.000,NULL,0,5,0,"DRIVE",8.888,"FAILED",67.2,3
