"id","timestamp_utc","cycle_id","segment_uid","corridor_name","current_travel_time_seconds","true_driving_distance_meters","free_flow_travel_time_seconds","travel_time_index_tti","hour_of_day_utc","hour_of_day_ist","is_weekend","vehicle_mode","temporal_drift_seconds","api_response_status","api_latency_ms","retry_count"
91451,"2026-07-20 00:00:27.794106+00","2026-07-20T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM(AT_GRADE_BELOWFLYOVER)_003","Corridor_Littlemount_Kilambakkam",0.000,933.000,152.000,NULL,0,5,0,"DRIVE",8.946,"FAILED",67.0,3
91452,"2026-07-20 00:00:27.857626+00","2026-07-20T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM_012","Corridor_Littlemount_Kilambakkam",0.000,874.000,104.000,NULL,0,5,0,"DRIVE",8.948,"FAILED",70.0,3
91453,"2026-07-20 00:00:27.873372+00","2026-07-20T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT_021","Corridor_Littlemount_Kilambakkam",0.000,883.000,90.000,NULL,0,5,0,"DRIVE",8.944,"FAILED",67.1,3
91454,"2026-07-20 00:00:27.903584+00","2026-07-20T00:00:11Z_0001","GUINDY_TAMBARAM_029","Guindy-Tambaram",0.000,591.000,67.000,NULL,0,5,0,"DRIVE",8.949,"FAILED",68.3,3
91455,"2026-07-20 00:00:27.924681+00","2026-07-20T00:00:11Z_0001","BROADWAY_KOYEMBEDU_003","EVR Salai",0.000,237.000,46.000,NULL,0,5,0,"DRIVE",8.948,"FAILED",74.0,3
91456,"2026-07-20 00:00:27.948587+00","2026-07-20T00:00:11Z_0001","BROADWAY_KOYEMBEDU_024","EVR Salai",0.000,1005.000,115.000,NULL,0,5,0,"DRIVE",8.948,"FAILED",65.3,3
91457,"2026-07-20 00:00:27.951572+00","2026-07-20T00:00:11Z_0001","KOYEMBEDU_BROADWAY_003","EVR Salai",0.000,1004.000,111.000,NULL,0,5,0,"DRIVE",8.948,"FAILED",68.3,3
91458,"2026-07-20 00:00:27.950765+00","2026-07-20T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_006","Corridor_Littlemount_Kilambakkam",0.000,3671.000,491.000,NULL,0,5,0,"DRIVE",8.939,"FAILED",67.8,3
91459,"2026-07-20 00:00:27.956154+00","2026-07-20T00:00:11Z_0001","BROADWAY_KOYEMBEDU_008","EVR Salai",0.000,446.000,71.000,NULL,0,5,0,"DRIVE",8.948,"FAILED",67.6,3
91460,"2026-07-20 00:00:27.958541+00","2026-07-20T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM_007","Corridor_Littlemount_Kilambakkam",0.000,591.000,84.000,NULL,0,5,0,"DRIVE",8.948,"FAILED",66.6,3
91461,"2026-07-20 00:00:27.981909+00","2026-07-20T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM_032","Corridor_Littlemount_Kilambakkam",0.000,1222.000,91.000,NULL,0,5,0,"DRIVE",8.948,"FAILED",66.7,3
91462,"2026-07-20 00:00:27.986967+00","2026-07-20T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM(AT_GRADE_BELOWFLYOVER)_002","Corridor_Littlemount_Kilambakkam",0.000,1127.000,198.000,NULL,0,5,0,"DRIVE",8.946,"FAILED",65.4,3
91463,"2026-07-20 00:00:27.993618+00","2026-07-20T00:00:11Z_0001","KOYEMBEDU_BROADWAY_001","EVR Salai",0.000,270.000,43.000,NULL,0,5,0,"DRIVE",8.948,"FAILED",68.3,3
91464,"2026-07-20 00:00:28.015633+00","2026-07-20T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM(AT_GRADE_BELOWFLYOVER)_006","Corridor_Littlemount_Kilambakkam",0.000,3806.000,430.000,NULL,0,5,0,"DRIVE",8.946,"FAILED",67.0,3
91465,"2026-07-20 00:00:28.016658+00","2026-07-20T00:00:11Z_0001","BROADWAY_KOYEMBEDU_014","EVR Salai",0.000,413.000,85.000,NULL,0,5,0,"DRIVE",8.948,"FAILED",66.1,3
91466,"2026-07-20 00:00:28.021682+00","2026-07-20T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT_005","Corridor_Littlemount_Kilambakkam",0.000,940.000,107.000,NULL,0,5,0,"DRIVE",8.941,"FAILED",66.5,3
91467,"2026-07-20 00:00:28.039257+00","2026-07-20T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT_018","Corridor_Littlemount_Kilambakkam",0.000,1745.000,124.000,NULL,0,5,0,"DRIVE",8.943,"FAILED",65.7,3
91468,"2026-07-20 00:00:28.052878+00","2026-07-20T00:00:11Z_0001","KOYEMBEDU_BROADWAY_020","EVR Salai",0.000,274.000,55.000,NULL,0,5,0,"DRIVE",8.949,"FAILED",66.7,3
91469,"2026-07-20 00:00:28.078748+00","2026-07-20T00:00:11Z_0001","TAMBARAM_GUINDY_028","Guindy-Tambaram",0.000,251.000,32.000,NULL,0,5,0,"DRIVE",8.949,"FAILED",65.7,3
91470,"2026-07-20 00:00:28.079523+00","2026-07-20T00:00:11Z_0001","GUINDY_TAMBARAM_030","Guindy-Tambaram",0.000,248.000,30.000,NULL,0,5,0,"DRIVE",8.949,"FAILED",66.9,3
91471,"2026-07-20 00:00:28.083673+00","2026-07-20T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT_024","Corridor_Littlemount_Kilambakkam",0.000,556.000,60.000,NULL,0,5,0,"DRIVE",8.944,"FAILED",65.5,3
91472,"2026-07-20 00:00:28.084071+00","2026-07-20T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT_003","Corridor_Littlemount_Kilambakkam",0.000,637.000,45.000,NULL,0,5,0,"DRIVE",8.940,"FAILED",67.1,3
91473,"2026-07-20 00:00:28.088076+00","2026-07-20T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT_020","Corridor_Littlemount_Kilambakkam",0.000,548.000,73.000,NULL,0,5,0,"DRIVE",8.943,"FAILED",67.7,3
91474,"2026-07-20 00:00:28.090658+00","2026-07-20T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM_017","Corridor_Littlemount_Kilambakkam",0.000,1568.000,153.000,NULL,0,5,0,"DRIVE",8.948,"FAILED",66.4,3
