"id","timestamp_utc","cycle_id","segment_uid","corridor_name","current_travel_time_seconds","true_driving_distance_meters","free_flow_travel_time_seconds","travel_time_index_tti","hour_of_day_utc","hour_of_day_ist","is_weekend","vehicle_mode","temporal_drift_seconds","api_response_status","api_latency_ms","retry_count"
103546,"2026-07-21 00:00:27.574977+00","2026-07-21T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT_028","Corridor_Littlemount_Kilambakkam",0.000,1051.000,110.000,NULL,0,5,0,"DRIVE",8.975,"FAILED",65.8,3
103547,"2026-07-21 00:00:27.686517+00","2026-07-21T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT_029","Corridor_Littlemount_Kilambakkam",0.000,556.000,75.000,NULL,0,5,0,"DRIVE",8.975,"FAILED",67.5,3
103548,"2026-07-21 00:00:27.695546+00","2026-07-21T00:00:11Z_0001","GUINDY_TAMBARAM_031","Guindy-Tambaram",0.000,598.000,61.000,NULL,0,5,0,"DRIVE",8.979,"FAILED",84.2,3
103549,"2026-07-21 00:00:27.719073+00","2026-07-21T00:00:11Z_0001","BROADWAY_KOYEMBEDU_001","EVR Salai",0.000,382.000,55.000,NULL,0,5,0,"DRIVE",8.978,"FAILED",67.5,3
103550,"2026-07-21 00:00:27.744793+00","2026-07-21T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM_007","Corridor_Littlemount_Kilambakkam",0.000,591.000,84.000,NULL,0,5,0,"DRIVE",8.978,"FAILED",67.7,3
103551,"2026-07-21 00:00:27.770756+00","2026-07-21T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT_012","Corridor_Littlemount_Kilambakkam",0.000,1122.000,109.000,NULL,0,5,0,"DRIVE",8.972,"FAILED",70.3,3
103552,"2026-07-21 00:00:27.784403+00","2026-07-21T00:00:11Z_0001","BROADWAY_KOYEMBEDU_002","EVR Salai",0.000,348.000,58.000,NULL,0,5,0,"DRIVE",8.978,"FAILED",66.8,3
103553,"2026-07-21 00:00:27.791787+00","2026-07-21T00:00:11Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_008","Corridor_Littlemount_Kilambakkam",0.000,421.000,52.000,NULL,0,5,0,"DRIVE",8.969,"FAILED",66.2,3
103554,"2026-07-21 00:00:27.811824+00","2026-07-21T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM(AT_GRADE_BELOWFLYOVER)_002","Corridor_Littlemount_Kilambakkam",0.000,1127.000,198.000,NULL,0,5,0,"DRIVE",8.976,"FAILED",67.7,3
103555,"2026-07-21 00:00:27.813491+00","2026-07-21T00:00:11Z_0001","CENTRAL_PUZHAL_024","Puzhal-Central",0.000,171.000,41.000,NULL,0,5,0,"DRIVE",8.979,"FAILED",67.6,3
103556,"2026-07-21 00:00:27.815729+00","2026-07-21T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM_016","Corridor_Littlemount_Kilambakkam",0.000,972.000,96.000,NULL,0,5,0,"DRIVE",8.978,"FAILED",66.9,3
103557,"2026-07-21 00:00:27.82308+00","2026-07-21T00:00:11Z_0001","BROADWAY_KOYEMBEDU_012","EVR Salai",0.000,165.000,33.000,NULL,0,5,0,"DRIVE",8.978,"FAILED",65.6,3
103558,"2026-07-21 00:00:27.842668+00","2026-07-21T00:00:11Z_0001","KOYEMBEDU_BROADWAY_007","EVR Salai",0.000,329.000,40.000,NULL,0,5,0,"DRIVE",8.979,"FAILED",67.0,3
103559,"2026-07-21 00:00:27.844122+00","2026-07-21T00:00:11Z_0001","LITTLEMOUNT_KILAMBAKKAM_003","Corridor_Littlemount_Kilambakkam",0.000,194.000,27.000,NULL,0,5,0,"DRIVE",8.977,"FAILED",66.6,3
103560,"2026-07-21 00:00:27.84584+00","2026-07-21T00:00:11Z_0001","GUINDY_TAMBARAM_014","Guindy-Tambaram",0.000,556.000,87.000,NULL,0,5,0,"DRIVE",8.979,"FAILED",66.2,3
103561,"2026-07-21 00:00:27.854643+00","2026-07-21T00:00:11Z_0001","GUINDY_TAMBARAM_019","Guindy-Tambaram",0.000,435.000,60.000,NULL,0,5,0,"DRIVE",8.979,"FAILED",67.0,3
