"id","timestamp_utc","cycle_id","segment_uid","corridor_name","current_travel_time_seconds","true_driving_distance_meters","free_flow_travel_time_seconds","travel_time_index_tti","hour_of_day_utc","hour_of_day_ist","is_weekend","vehicle_mode","temporal_drift_seconds","api_response_status","api_latency_ms","retry_count"
55166,"2026-07-17 00:00:03.320546+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_002","Corridor_Littlemount_Kilambakkam",39.000,640.000,49.000,0.7959,0,5,0,"DRIVE",1.246,"OK",75.3,0
55167,"2026-07-17 00:00:03.321454+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_003","Corridor_Littlemount_Kilambakkam",19.000,223.000,25.000,0.7600,0,5,0,"DRIVE",1.244,"OK",77.7,0
55168,"2026-07-17 00:00:03.322836+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_004","Corridor_Littlemount_Kilambakkam",25.000,310.000,33.000,0.7576,0,5,0,"DRIVE",1.244,"OK",78.9,0
55169,"2026-07-17 00:00:03.323119+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_017","Corridor_Littlemount_Kilambakkam",31.000,386.000,37.000,0.8378,0,5,0,"DRIVE",1.248,"OK",75.2,0
55170,"2026-07-17 00:00:03.323417+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_002","Corridor_Littlemount_Kilambakkam",71.000,591.000,95.000,0.7474,0,5,0,"DRIVE",1.244,"OK",79.9,0
55171,"2026-07-17 00:00:03.325659+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_006","Corridor_Littlemount_Kilambakkam",379.000,3671.000,491.000,0.7719,0,5,0,"DRIVE",1.245,"OK",81.4,0
55172,"2026-07-17 00:00:03.325082+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_019","Corridor_Littlemount_Kilambakkam",30.000,341.000,43.000,0.6977,0,5,0,"DRIVE",1.249,"OK",76.9,0
55173,"2026-07-17 00:00:03.328111+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_007","Corridor_Littlemount_Kilambakkam",52.000,668.000,70.000,0.7429,0,5,0,"DRIVE",1.247,"OK",82.1,0
55174,"2026-07-17 00:00:03.328766+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_001","Corridor_Littlemount_Kilambakkam",77.000,1166.000,81.000,0.9506,0,5,0,"DRIVE",1.246,"OK",83.7,0
55175,"2026-07-17 00:00:03.32992+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_005","Corridor_Littlemount_Kilambakkam",81.000,602.000,88.000,0.9205,0,5,0,"DRIVE",1.245,"OK",85.8,0
55176,"2026-07-17 00:00:03.328371+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_008","Corridor_Littlemount_Kilambakkam",46.000,421.000,52.000,0.8846,0,5,0,"DRIVE",1.245,"OK",83.6,0
55177,"2026-07-17 00:00:03.329408+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_007","Corridor_Littlemount_Kilambakkam",70.000,716.000,106.000,0.6604,0,5,0,"DRIVE",1.245,"OK",84.8,0
55178,"2026-07-17 00:00:03.329119+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_010","Corridor_Littlemount_Kilambakkam",123.000,1141.000,173.000,0.7110,0,5,0,"DRIVE",1.247,"OK",82.5,0
55179,"2026-07-17 00:00:03.331416+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_004","Corridor_Littlemount_Kilambakkam",62.000,1009.000,74.000,0.8378,0,5,0,"DRIVE",1.246,"OK",85.9,0
55180,"2026-07-17 00:00:03.330332+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_006","Corridor_Littlemount_Kilambakkam",108.000,1376.000,137.000,0.7883,0,5,0,"DRIVE",1.246,"OK",84.4,0
55181,"2026-07-17 00:00:03.331159+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_009","Corridor_Littlemount_Kilambakkam",60.000,521.000,86.000,0.6977,0,5,0,"DRIVE",1.247,"OK",84.7,0
55182,"2026-07-17 00:00:03.330899+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_013","Corridor_Littlemount_Kilambakkam",28.000,315.000,46.000,0.6087,0,5,0,"DRIVE",1.248,"OK",83.7,0
55183,"2026-07-17 00:00:03.337317+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_014","Corridor_Littlemount_Kilambakkam",49.000,664.000,88.000,0.5568,0,5,0,"DRIVE",1.248,"OK",89.9,0
55184,"2026-07-17 00:00:03.339482+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_011","Corridor_Littlemount_Kilambakkam",52.000,774.000,85.000,0.6118,0,5,0,"DRIVE",1.247,"OK",92.6,0
55185,"2026-07-17 00:00:03.338051+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_003","Corridor_Littlemount_Kilambakkam",38.000,637.000,45.000,0.8444,0,5,0,"DRIVE",1.246,"OK",92.7,0
55186,"2026-07-17 00:00:03.337819+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_021","Corridor_Littlemount_Kilambakkam",70.000,883.000,90.000,0.7778,0,5,0,"DRIVE",1.249,"OK",89.3,0
55187,"2026-07-17 00:00:03.339162+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_027","Corridor_Littlemount_Kilambakkam",53.000,695.000,70.000,0.7571,0,5,0,"DRIVE",1.250,"OK",89.5,0
55188,"2026-07-17 00:00:03.337559+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_001","Corridor_Littlemount_Kilambakkam",27.000,289.000,34.000,0.7941,0,5,0,"DRIVE",1.244,"OK",94.4,0
55189,"2026-07-17 00:00:03.338887+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_018","Corridor_Littlemount_Kilambakkam",107.000,1745.000,124.000,0.8629,0,5,0,"DRIVE",1.249,"OK",90.8,0
55190,"2026-07-17 00:00:03.338338+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_025","Corridor_Littlemount_Kilambakkam",68.000,835.000,84.000,0.8095,0,5,0,"DRIVE",1.250,"OK",89.0,0
55191,"2026-07-17 00:00:03.339872+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_009","Corridor_Littlemount_Kilambakkam",338.000,3771.000,419.000,0.8067,0,5,0,"DRIVE",1.245,"OK",95.0,0
55192,"2026-07-17 00:00:03.339754+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_022","Corridor_Littlemount_Kilambakkam",44.000,470.000,57.000,0.7719,0,5,0,"DRIVE",1.249,"OK",91.1,0
55193,"2026-07-17 00:00:03.339959+00","2026-07-17T00:00:01Z_0001","LITTLEMOUNT_KILAMBAKKAM_004","Corridor_Littlemount_Kilambakkam",22.000,225.000,36.000,0.6111,0,5,0,"DRIVE",1.252,"OK",88.3,0
55194,"2026-07-17 00:00:03.340051+00","2026-07-17T00:00:01Z_0001","LITTLEMOUNT_KILAMBAKKAM_001","Corridor_Littlemount_Kilambakkam",49.000,627.000,71.000,0.6901,0,5,0,"DRIVE",1.252,"OK",88.9,0
55195,"2026-07-17 00:00:03.344477+00","2026-07-17T00:00:01Z_0001","LITTLEMOUNT_KILAMBAKKAM_002","Corridor_Littlemount_Kilambakkam",28.000,363.000,41.000,0.6829,0,5,0,"DRIVE",1.252,"OK",93.1,0
55196,"2026-07-17 00:00:03.344571+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_028","Corridor_Littlemount_Kilambakkam",79.000,1051.000,110.000,0.7182,0,5,0,"DRIVE",1.250,"OK",94.8,0
55197,"2026-07-17 00:00:03.344848+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_008","Corridor_Littlemount_Kilambakkam",69.000,902.000,101.000,0.6832,0,5,0,"DRIVE",1.247,"OK",98.6,0
55198,"2026-07-17 00:00:03.344995+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_026","Corridor_Littlemount_Kilambakkam",80.000,980.000,90.000,0.8889,0,5,0,"DRIVE",1.250,"OK",95.5,0
55199,"2026-07-17 00:00:03.346241+00","2026-07-17T00:00:01Z_0001","LITTLEMOUNT_KILAMBAKKAM(AT_GRADE_BELOWFLYOVER)_002","Corridor_Littlemount_Kilambakkam",223.000,1127.000,198.000,1.1263,0,5,0,"DRIVE",1.251,"OK",96.0,0
55200,"2026-07-17 00:00:03.346404+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_023","Corridor_Littlemount_Kilambakkam",30.000,395.000,51.000,0.5882,0,5,0,"DRIVE",1.249,"OK",97.5,0
55201,"2026-07-17 00:00:03.345343+00","2026-07-17T00:00:01Z_0001","LITTLEMOUNT_KILAMBAKKAM_003","Corridor_Littlemount_Kilambakkam",15.000,194.000,27.000,0.5556,0,5,0,"DRIVE",1.252,"OK",93.7,0
55202,"2026-07-17 00:00:03.346653+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_024","Corridor_Littlemount_Kilambakkam",40.000,556.000,60.000,0.6667,0,5,0,"DRIVE",1.250,"OK",97.5,0
55203,"2026-07-17 00:00:03.346945+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_020","Corridor_Littlemount_Kilambakkam",50.000,548.000,73.000,0.6849,0,5,0,"DRIVE",1.249,"OK",98.6,0
55204,"2026-07-17 00:00:03.348203+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_015","Corridor_Littlemount_Kilambakkam",67.000,887.000,127.000,0.5276,0,5,0,"DRIVE",1.248,"OK",100.6,0
55205,"2026-07-17 00:00:03.354657+00","2026-07-17T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_029","Corridor_Littlemount_Kilambakkam",47.000,560.000,75.000,0.6267,0,5,0,"DRIVE",1.250,"OK",104.7,0
55206,"2026-07-17 00:00:03.348829+00","2026-07-17T00:00:01Z_0001","LITTLEMOUNT_KILAMBAKKAM(AT_GRADE_BELOWFLYOVER)_003","Corridor_Littlemount_Kilambakkam",175.000,933.000,152.000,1.1513,0,5,0,"DRIVE",1.251,"OK",98.4,0
