"id","timestamp_utc","cycle_id","segment_uid","corridor_name","current_travel_time_seconds","true_driving_distance_meters","free_flow_travel_time_seconds","travel_time_index_tti","hour_of_day_utc","hour_of_day_ist","is_weekend","vehicle_mode","temporal_drift_seconds","api_response_status","api_latency_ms","retry_count"
79356,"2026-07-19 00:00:18.521501+00","2026-07-19T00:00:01Z_0001","KOYEMBEDU_BROADWAY_006","EVR Salai",0.000,213.000,41.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",65.4,3
79357,"2026-07-19 00:00:18.533152+00","2026-07-19T00:00:01Z_0001","LITTLEMOUNT_KILAMBAKKAM_002","Corridor_Littlemount_Kilambakkam",0.000,363.000,41.000,NULL,0,5,1,"DRIVE",9.065,"FAILED",68.4,3
79358,"2026-07-19 00:00:18.545204+00","2026-07-19T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_010","Corridor_Littlemount_Kilambakkam",0.000,1141.000,173.000,NULL,0,5,1,"DRIVE",9.060,"FAILED",73.1,3
79359,"2026-07-19 00:00:18.59271+00","2026-07-19T00:00:01Z_0001","LITTLEMOUNT_KILAMBAKKAM_015","Corridor_Littlemount_Kilambakkam",0.000,440.000,50.000,NULL,0,5,1,"DRIVE",9.066,"FAILED",68.5,3
79360,"2026-07-19 00:00:18.633657+00","2026-07-19T00:00:01Z_0001","BROADWAY_KOYEMBEDU_001","EVR Salai",0.000,382.000,55.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",68.1,3
79361,"2026-07-19 00:00:18.643397+00","2026-07-19T00:00:01Z_0001","BROADWAY_KOYEMBEDU_003","EVR Salai",0.000,237.000,46.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",67.3,3
79362,"2026-07-19 00:00:18.649001+00","2026-07-19T00:00:01Z_0001","LITTLEMOUNT_KILAMBAKKAM_026","Corridor_Littlemount_Kilambakkam",0.000,681.000,58.000,NULL,0,5,1,"DRIVE",9.066,"FAILED",68.3,3
79363,"2026-07-19 00:00:18.669651+00","2026-07-19T00:00:01Z_0001","KOYEMBEDU_BROADWAY_004","EVR Salai",0.000,121.000,25.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",64.8,3
79364,"2026-07-19 00:00:18.6957+00","2026-07-19T00:00:01Z_0001","LITTLEMOUNT_KILAMBAKKAM_023","Corridor_Littlemount_Kilambakkam",0.000,1145.000,158.000,NULL,0,5,1,"DRIVE",9.066,"FAILED",66.1,3
79365,"2026-07-19 00:00:18.69636+00","2026-07-19T00:00:01Z_0001","LITTLEMOUNT_KILAMBAKKAM_012","Corridor_Littlemount_Kilambakkam",0.000,874.000,104.000,NULL,0,5,1,"DRIVE",9.066,"FAILED",72.4,3
79366,"2026-07-19 00:00:18.705621+00","2026-07-19T00:00:01Z_0001","LITTLEMOUNT_KILAMBAKKAM_005","Corridor_Littlemount_Kilambakkam",0.000,1029.000,113.000,NULL,0,5,1,"DRIVE",9.066,"FAILED",66.5,3
79367,"2026-07-19 00:00:18.713783+00","2026-07-19T00:00:01Z_0001","GUINDY_TAMBARAM_013","Guindy-Tambaram",0.000,186.000,33.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",67.4,3
79368,"2026-07-19 00:00:18.728938+00","2026-07-19T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_022","Corridor_Littlemount_Kilambakkam",0.000,470.000,57.000,NULL,0,5,1,"DRIVE",9.062,"FAILED",67.2,3
79369,"2026-07-19 00:00:18.729931+00","2026-07-19T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_003","Corridor_Littlemount_Kilambakkam",0.000,637.000,45.000,NULL,0,5,1,"DRIVE",9.059,"FAILED",65.7,3
79370,"2026-07-19 00:00:18.734733+00","2026-07-19T00:00:01Z_0001","KOYEMBEDU_BROADWAY_019","EVR Salai",0.000,443.000,72.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",69.3,3
79371,"2026-07-19 00:00:18.742494+00","2026-07-19T00:00:01Z_0001","BROADWAY_KOYEMBEDU_006","EVR Salai",0.000,634.000,88.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",67.8,3
79372,"2026-07-19 00:00:18.767229+00","2026-07-19T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_001","Corridor_Littlemount_Kilambakkam",0.000,289.000,34.000,NULL,0,5,1,"DRIVE",9.056,"FAILED",66.2,3
79373,"2026-07-19 00:00:18.769338+00","2026-07-19T00:00:01Z_0001","BROADWAY_KOYEMBEDU_018","EVR Salai",0.000,816.000,126.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",65.6,3
79374,"2026-07-19 00:00:18.771741+00","2026-07-19T00:00:01Z_0001","BROADWAY_KOYEMBEDU_016","EVR Salai",0.000,460.000,62.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",71.9,3
79375,"2026-07-19 00:00:18.772956+00","2026-07-19T00:00:01Z_0001","TAMBARAM_GUINDY_022","Guindy-Tambaram",0.000,586.000,72.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",70.1,3
79376,"2026-07-19 00:00:18.783381+00","2026-07-19T00:00:01Z_0001","PALLAVARAM_THORAIPAKKAM_AT_GRADE_002","Thoraipakkam-Pallavaram",0.000,351.000,50.000,NULL,0,5,1,"DRIVE",9.068,"FAILED",68.8,3
79377,"2026-07-19 00:00:18.787676+00","2026-07-19T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_007","Corridor_Littlemount_Kilambakkam",0.000,668.000,70.000,NULL,0,5,1,"DRIVE",9.059,"FAILED",66.7,3
79378,"2026-07-19 00:00:18.792934+00","2026-07-19T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_018","Corridor_Littlemount_Kilambakkam",0.000,1745.000,124.000,NULL,0,5,1,"DRIVE",9.061,"FAILED",65.7,3
79379,"2026-07-19 00:00:18.796393+00","2026-07-19T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_014","Corridor_Littlemount_Kilambakkam",0.000,664.000,88.000,NULL,0,5,1,"DRIVE",9.061,"FAILED",75.6,3
79380,"2026-07-19 00:00:18.8006+00","2026-07-19T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_025","Corridor_Littlemount_Kilambakkam",0.000,835.000,84.000,NULL,0,5,1,"DRIVE",9.063,"FAILED",67.4,3
79381,"2026-07-19 00:00:18.807397+00","2026-07-19T00:00:01Z_0001","KOYEMBEDU_BROADWAY_018","EVR Salai",0.000,233.000,38.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",70.2,3
79382,"2026-07-19 00:00:18.81423+00","2026-07-19T00:00:01Z_0001","GUINDY_TAMBARAM_009","Guindy-Tambaram",0.000,490.000,49.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",67.1,3
79383,"2026-07-19 00:00:18.816623+00","2026-07-19T00:00:01Z_0001","GUINDY_TAMBARAM_007","Guindy-Tambaram",0.000,724.000,68.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",68.4,3
79384,"2026-07-19 00:00:18.836646+00","2026-07-19T00:00:01Z_0001","LITTLEMOUNT_KILAMBAKKAM_032","Corridor_Littlemount_Kilambakkam",0.000,1222.000,91.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",68.3,3
79385,"2026-07-19 00:00:18.847829+00","2026-07-19T00:00:01Z_0001","LITTLEMOUNT_KILAMBAKKAM_006","Corridor_Littlemount_Kilambakkam",0.000,703.000,88.000,NULL,0,5,1,"DRIVE",9.066,"FAILED",68.6,3
79386,"2026-07-19 00:00:18.851154+00","2026-07-19T00:00:01Z_0001","GUINDY_TAMBARAM_024","Guindy-Tambaram",0.000,402.000,43.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",70.7,3
79387,"2026-07-19 00:00:18.864713+00","2026-07-19T00:00:01Z_0001","KOYEMBEDU_BROADWAY_013","EVR Salai",0.000,417.000,59.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",66.0,3
79388,"2026-07-19 00:00:18.882131+00","2026-07-19T00:00:01Z_0001","BROADWAY_KOYEMBEDU_013","EVR Salai",0.000,629.000,73.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",67.6,3
79389,"2026-07-19 00:00:18.882631+00","2026-07-19T00:00:01Z_0001","CENTRAL_PUZHAL_ATGRADE_003","Puzhal-Central",0.000,561.000,57.000,NULL,0,5,1,"DRIVE",9.068,"FAILED",97.4,3
79390,"2026-07-19 00:00:18.88394+00","2026-07-19T00:00:01Z_0001","GUINDY_TAMBARAM_029","Guindy-Tambaram",0.000,591.000,67.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",66.2,3
79391,"2026-07-19 00:00:18.892546+00","2026-07-19T00:00:01Z_0001","GUINDY_TAMBARAM_030","Guindy-Tambaram",0.000,248.000,30.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",66.3,3
79392,"2026-07-19 00:00:18.894012+00","2026-07-19T00:00:01Z_0001","KOYEMBEDU_BROADWAY_008","EVR Salai",0.000,414.000,63.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",66.5,3
79393,"2026-07-19 00:00:18.897263+00","2026-07-19T00:00:01Z_0001","CENTRAL_PUZHAL_021","Puzhal-Central",0.000,379.000,39.000,NULL,0,5,1,"DRIVE",9.068,"FAILED",68.3,3
79394,"2026-07-19 00:00:18.897637+00","2026-07-19T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_006","Corridor_Littlemount_Kilambakkam",0.000,1376.000,137.000,NULL,0,5,1,"DRIVE",9.059,"FAILED",66.6,3
79395,"2026-07-19 00:00:18.900211+00","2026-07-19T00:00:01Z_0001","LITTLEMOUNT_KILAMBAKKAM_030","Corridor_Littlemount_Kilambakkam",0.000,691.000,54.000,NULL,0,5,1,"DRIVE",9.066,"FAILED",67.8,3
79396,"2026-07-19 00:00:18.901285+00","2026-07-19T00:00:01Z_0001","GUINDY_TAMBARAM_014","Guindy-Tambaram",0.000,556.000,87.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",67.6,3
79397,"2026-07-19 00:00:18.908729+00","2026-07-19T00:00:01Z_0001","TAMBARAM_GUINDY_021","Guindy-Tambaram",0.000,604.000,64.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",66.8,3
79398,"2026-07-19 00:00:18.912774+00","2026-07-19T00:00:01Z_0001","GUINDY_TAMBARAM_035","Guindy-Tambaram",0.000,296.000,65.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",68.2,3
79399,"2026-07-19 00:00:18.918749+00","2026-07-19T00:00:01Z_0001","KILAMBAKKAM_LITTLEMOUNT_019","Corridor_Littlemount_Kilambakkam",0.000,341.000,43.000,NULL,0,5,1,"DRIVE",9.062,"FAILED",70.1,3
79400,"2026-07-19 00:00:18.937157+00","2026-07-19T00:00:01Z_0001","GUINDY_TAMBARAM_027","Guindy-Tambaram",0.000,583.000,59.000,NULL,0,5,1,"DRIVE",9.067,"FAILED",78.9,3
