"id","timestamp_utc","cycle_id","segment_uid","corridor_name","local_aqi","air_quality_category","dominant_pollutant","api_response_status","api_debug_message","api_latency_ms","retry_count"
6196,"2026-07-15 00:35:09.572938+00","2026-07-15T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_004","Corridor_Littlemount_Kilambakkam",38,"Low air quality","pm25","OK","Success",1681.5,0
6197,"2026-07-15 00:35:09.572938+00","2026-07-15T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_001","Corridor_Littlemount_Kilambakkam",38,"Low air quality","pm25","OK","Success",1682.4,0
6198,"2026-07-15 00:35:09.572938+00","2026-07-15T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_011","Corridor_Littlemount_Kilambakkam",40,"Moderate air quality","pm25","OK","Success",1684.6,0
6199,"2026-07-15 00:35:09.572938+00","2026-07-15T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_005","Corridor_Littlemount_Kilambakkam",54,"Moderate air quality","pm25","OK","Success",1687.8,0
6200,"2026-07-15 00:35:09.572938+00","2026-07-15T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_002","Corridor_Littlemount_Kilambakkam",38,"Low air quality","pm25","OK","Success",1687.4,0
6201,"2026-07-15 00:35:09.572938+00","2026-07-15T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_007","Corridor_Littlemount_Kilambakkam",55,"Moderate air quality","pm25","OK","Success",1688.4,0
6202,"2026-07-15 00:35:09.572938+00","2026-07-15T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_002","Corridor_Littlemount_Kilambakkam",50,"Moderate air quality","pm25","OK","Success",1696.9,0
6203,"2026-07-15 00:35:09.572938+00","2026-07-15T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_004","Corridor_Littlemount_Kilambakkam",52,"Moderate air quality","pm25","OK","Success",1703.6,0
6204,"2026-07-15 00:35:09.572938+00","2026-07-15T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_007","Corridor_Littlemount_Kilambakkam",39,"Low air quality","pm25","OK","Success",1703.9,0
6205,"2026-07-15 00:35:09.572938+00","2026-07-15T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_005","Corridor_Littlemount_Kilambakkam",38,"Low air quality","pm25","OK","Success",1704.8,0
6206,"2026-07-15 00:35:09.572938+00","2026-07-15T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_008","Corridor_Littlemount_Kilambakkam",38,"Low air quality","pm25","OK","Success",1708.7,0
6207,"2026-07-15 00:35:09.572938+00","2026-07-15T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_009","Corridor_Littlemount_Kilambakkam",39,"Low air quality","pm25","OK","Success",1717.4,0
6208,"2026-07-15 00:35:09.572938+00","2026-07-15T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_003","Corridor_Littlemount_Kilambakkam",52,"Moderate air quality","pm25","OK","Success",1724.6,0
6209,"2026-07-15 00:35:09.572938+00","2026-07-15T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_001","Corridor_Littlemount_Kilambakkam",49,"Moderate air quality","pm25","OK","Success",1727.2,0
