"id","timestamp_utc","cycle_id","segment_uid","corridor_name","local_aqi","air_quality_category","dominant_pollutant","api_response_status","api_debug_message","api_latency_ms","retry_count"
10916,"2026-07-17 00:35:09.823606+00","2026-07-17T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_003","Corridor_Littlemount_Kilambakkam",55,"Moderate air quality","pm25","OK","Success",1676.9,0
10917,"2026-07-17 00:35:09.823606+00","2026-07-17T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_011","Corridor_Littlemount_Kilambakkam",51,"Moderate air quality","pm25","OK","Success",1683.5,0
10918,"2026-07-17 00:35:09.823606+00","2026-07-17T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_006","Corridor_Littlemount_Kilambakkam",47,"Moderate air quality","pm25","OK","Success",1686.4,0
10919,"2026-07-17 00:35:09.823606+00","2026-07-17T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_006","Corridor_Littlemount_Kilambakkam",56,"Moderate air quality","pm25","OK","Success",1695.5,0
10920,"2026-07-17 00:35:09.823606+00","2026-07-17T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_009","Corridor_Littlemount_Kilambakkam",44,"Moderate air quality","pm25","OK","Success",1696.3,0
10921,"2026-07-17 00:35:09.823606+00","2026-07-17T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_001","Corridor_Littlemount_Kilambakkam",55,"Moderate air quality","pm25","OK","Success",1700.2,0
10922,"2026-07-17 00:35:09.823606+00","2026-07-17T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_007","Corridor_Littlemount_Kilambakkam",56,"Moderate air quality","pm25","OK","Success",1705.7,0
10923,"2026-07-17 00:35:09.823606+00","2026-07-17T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_002","Corridor_Littlemount_Kilambakkam",55,"Moderate air quality","pm25","OK","Success",1707.0,0
10924,"2026-07-17 00:35:09.823606+00","2026-07-17T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_003","Corridor_Littlemount_Kilambakkam",46,"Moderate air quality","pm25","OK","Success",1709.4,0
10925,"2026-07-17 00:35:09.823606+00","2026-07-17T00:35:02Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_010","Corridor_Littlemount_Kilambakkam",50,"Moderate air quality","pm25","OK","Success",1709.7,0
