"id","timestamp_utc","cycle_id","segment_uid","corridor_name","local_aqi","air_quality_category","dominant_pollutant","api_response_status","api_debug_message","api_latency_ms","retry_count"
8556,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_006","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1614.9,0
8557,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_007","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1622.4,0
8558,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_001","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1632.3,0
8559,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_001","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1636.3,0
8560,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_005","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1639.4,0
8561,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_003","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1642.1,0
8562,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_011","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1645.4,0
8563,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_008","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1646.2,0
8564,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_007","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1647.2,0
8565,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_010","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1651.8,0
8566,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_005","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1653.5,0
8567,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_009","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1657.3,0
8568,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_004","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1658.9,0
8569,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_009","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1659.0,0
8570,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_002","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1662.5,0
8571,"2026-07-16 00:35:09.208808+00","2026-07-16T00:35:01Z_0001_aqi","KILAMBAKKAM_LITTLEMOUNT_004","Corridor_Littlemount_Kilambakkam",59,"Moderate air quality","pm25","OK","Success",1663.1,0
