"id","timestamp_utc","cycle_id","segment_uid","corridor_name","temperature_celsius","precipitation_probability","visibility_meters","weather_condition","api_response_status","api_latency_ms","retry_count"
10916,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_002","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",1683.8,0
10917,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_009","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",1684.4,0
10918,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_004","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",1693.5,0
10919,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_006","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",1693.2,0
10920,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_007","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",1696.7,0
10921,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_001","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",1700.4,0
10922,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_011","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",1703.2,0
10923,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_002","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",1704.3,0
10924,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_009","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",1707.4,0
10925,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_006","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",1711.9,0
10926,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_004","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",1712.2,0
10927,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_001","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",1713.1,0
10928,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_005","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",1706.2,0
10929,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_003","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",1718.7,0
10930,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_007","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",1721.7,0
10931,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_003","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",1723.4,0
10932,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_008","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",1777.6,0
10933,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_010","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",1786.4,0
10934,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_005","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",1816.3,0
10935,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_008","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",1818.1,0
10936,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_012","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",1958.2,0
10937,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_014","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",1967.3,0
10938,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_019","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",1980.6,0
10939,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_020","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",1997.4,0
10940,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_026","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",1998.0,0
10941,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_028","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2070.7,0
10942,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_029","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2080.0,0
10943,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM(AT_GRADE_BELOWFLYOVER)_003","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2231.6,0
10944,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM(AT_GRADE_BELOWFLYOVER)_004","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2244.0,0
10945,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM(AT_GRADE_BELOWFLYOVER)_005","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",2258.2,0
10946,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_001","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2275.2,0
10947,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM(AT_GRADE_BELOWFLYOVER)_006","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",2303.2,0
10948,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_002","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2363.4,0
10949,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_003","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2369.5,0
10950,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM(AT_GRADE_BELOWFLYOVER)_001","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2443.4,0
10951,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_018","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2444.0,0
10952,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_025","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2444.9,0
10953,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_016","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2445.0,0
10954,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_015","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2445.1,0
10955,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_022","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2445.9,0
10956,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_023","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2446.5,0
10957,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_021","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2447.2,0
10958,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_027","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2447.3,0
10959,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_013","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2447.9,0
10960,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_017","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2448.6,0
10961,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM(AT_GRADE_BELOWFLYOVER)_002","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2454.2,0
10962,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_024","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2451.7,0
10963,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_004","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2509.9,0
10964,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_005","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2521.3,0
10965,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_006","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2537.2,0
10966,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_007","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2556.8,0
10967,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_008","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2583.9,0
10968,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_009","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2660.6,0
10969,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_010","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2664.7,0
10970,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_012","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2717.9,0
10971,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_011","Corridor_Littlemount_Kilambakkam",29.40,NULL,16.00,"Partly sunny","OK",2718.3,0
10972,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_015","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2719.5,0
10973,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_014","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2722.0,0
10974,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_019","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2722.3,0
10975,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_013","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2722.4,0
10976,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_016","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2723.1,0
10977,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_017","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2722.8,0
10978,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_018","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2723.1,0
10979,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_021","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2723.5,0
10980,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_020","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2726.3,0
10981,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_023","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",2742.3,0
10982,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_022","Corridor_Littlemount_Kilambakkam",29.00,NULL,16.00,"Partly sunny","OK",2751.0,0
10983,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_032","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",2994.5,0
10984,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","BROADWAY_KOYEMBEDU_001","EVR Salai",29.30,NULL,16.00,"Mostly cloudy","OK",2995.9,0
10985,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","LITTLEMOUNT_KILAMBAKKAM_031","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Partly sunny","OK",2997.5,0
10986,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","BROADWAY_KOYEMBEDU_009","EVR Salai",29.30,NULL,16.00,"Mostly cloudy","OK",3000.4,0
10987,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","BROADWAY_KOYEMBEDU_002","EVR Salai",29.30,NULL,16.00,"Mostly cloudy","OK",3000.4,0
10988,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","BROADWAY_KOYEMBEDU_005","EVR Salai",29.30,NULL,16.00,"Mostly cloudy","OK",3000.1,0
10989,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","BROADWAY_KOYEMBEDU_004","EVR Salai",29.30,NULL,16.00,"Mostly cloudy","OK",3000.5,0
10990,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","BROADWAY_KOYEMBEDU_003","EVR Salai",29.30,NULL,16.00,"Mostly cloudy","OK",3003.9,0
10991,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","BROADWAY_KOYEMBEDU_007","EVR Salai",29.30,NULL,16.00,"Mostly cloudy","OK",3004.5,0
10992,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","BROADWAY_KOYEMBEDU_008","EVR Salai",29.30,NULL,16.00,"Mostly cloudy","OK",3006.5,0
10993,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","BROADWAY_KOYEMBEDU_006","EVR Salai",29.30,NULL,16.00,"Mostly cloudy","OK",3014.0,0
10994,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","BROADWAY_KOYEMBEDU_010","EVR Salai",29.30,NULL,16.00,"Mostly cloudy","OK",3038.6,0
10995,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","BROADWAY_KOYEMBEDU_011","EVR Salai",29.30,NULL,16.00,"Mostly cloudy","OK",3047.0,0
10996,"2026-07-17 00:35:03.488375+00","2026-07-17T00:35:02Z_0001_weather","BROADWAY_KOYEMBEDU_015","EVR Salai",29.30,NULL,16.00,"Mostly cloudy","OK",3286.2,0
