"id","timestamp_utc","cycle_id","segment_uid","corridor_name","temperature_celsius","precipitation_probability","visibility_meters","weather_condition","api_response_status","api_latency_ms","retry_count"
8556,"2026-07-16 00:35:03.168366+00","2026-07-16T00:35:01Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_009","Corridor_Littlemount_Kilambakkam",28.80,NULL,16.00,"Mostly cloudy","OK",1611.4,0
8557,"2026-07-16 00:35:03.168366+00","2026-07-16T00:35:01Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_006","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Mostly cloudy","OK",1615.0,0
8558,"2026-07-16 00:35:03.168366+00","2026-07-16T00:35:01Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_001","Corridor_Littlemount_Kilambakkam",28.80,NULL,16.00,"Mostly cloudy","OK",1622.9,0
8559,"2026-07-16 00:35:03.168366+00","2026-07-16T00:35:01Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_002","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Mostly cloudy","OK",1624.5,0
8560,"2026-07-16 00:35:03.168366+00","2026-07-16T00:35:01Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_003","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Mostly cloudy","OK",1624.8,0
8561,"2026-07-16 00:35:03.168366+00","2026-07-16T00:35:01Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_007","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Mostly cloudy","OK",1625.1,0
8562,"2026-07-16 00:35:03.168366+00","2026-07-16T00:35:01Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_011","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Mostly cloudy","OK",1624.9,0
8563,"2026-07-16 00:35:03.168366+00","2026-07-16T00:35:01Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_005","Corridor_Littlemount_Kilambakkam",28.80,NULL,16.00,"Mostly cloudy","OK",1627.9,0
8564,"2026-07-16 00:35:03.168366+00","2026-07-16T00:35:01Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT_007","Corridor_Littlemount_Kilambakkam",28.80,NULL,16.00,"Mostly cloudy","OK",1630.9,0
8565,"2026-07-16 00:35:03.168366+00","2026-07-16T00:35:01Z_0001_weather","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_004","Corridor_Littlemount_Kilambakkam",28.90,NULL,16.00,"Mostly cloudy","OK",1628.1,0
